Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime
Hopewell City,2024,5,10,38
Hopewell City,2045,5,10,38
Isle of Wight County,2024,5,11,32
Isle of Wight County,2045,5,11,32
James City County,2024,5,17,43
James City County,2045,5,17,43
King and Queen County,2024,5,16,48
King and Queen County,2045,5,16,48
King George County,2024,5,8,22
King George County,2045,5,8,22
King William County,2024,5,14,43
King William County,2045,5,14,43
Lancaster County,2024,5,6,21
Lancaster County,2045,5,6,21
Lee County,2024,5,6,24
Lee County,2045,5,6,24
Lexington City,2024,5,16,49
Lexington City,2045,5,16,49
Loudoun County,2024,5,5,31
Loudoun County,2045,5,5,31
Louisa County,2024,5,15,50
Louisa County,2045,5,15,50
Lunenburg County,2024,5,11,33
Lunenburg County,2045,5,11,33
Lynchburg City,2024,5,10,34
Lynchburg City,2045,5,10,34
Madison County,2024,5,26,56
Madison County,2045,5,26,56
Manassas City,2024,5,8,22
Manassas City,2045,5,8,22
Manassas Park City,2024,5,9,34
Manassas Park City,2045,5,9,34
Martinsville City,2024,5,6,20
Martinsville City,2045,5,6,20
Mathews County,2024,5,9,23
Mathews County,2045,5,9,23
Mecklenburg County,2024,5,8,21
Mecklenburg County,2045,5,8,21
Middlesex County,2024,5,15,44
Middlesex County,2045,5,15,44
Montgomery County,2024,5,16,33
Montgomery County,2045,5,16,33
Nelson County,2024,5,15,53
Nelson County,2045,5,15,53
New Kent County,2024,5,8,25
New Kent County,2045,5,8,25
Newport News City,2024,5,5,36
Newport News City,2045,5,5,36
Norfolk City,2024,5,6,11
Norfolk City,2045,5,6,11
Northampton County,2024,5,10,33
Northampton County,2045,5,10,33
Northumberland County,2024,5,8,22
Northumberland County,2045,5,8,22
Norton City,2024,5,10,26
Norton City,2045,5,10,26
Nottoway County,2024,5,16,17
Nottoway County,2045,5,16,17
Orange County,2024,5,15,45
Orange County,2045,5,15,45
Page County,2024,5,14,43
Page County,2045,5,14,43
Patrick County,2024,5,6,20
Patrick County,2045,5,6,20
Petersburg City,2024,5,12,33
Petersburg City,2045,5,12,33
Pittsylvania County,2024,5,10,34
Pittsylvania County,2045,5,10,34
Poquoson City,2024,5,9,25
Poquoson City,2045,5,9,25
Portsmouth City,2024,5,15,45
Portsmouth City,2045,5,15,45
Powhatan County,2024,5,13,33
Powhatan County,2045,5,13,33
Prince Edward County,2024,5,16,22
Prince Edward County,2045,5,16,22
Prince George County,2024,5,11,35
Prince George County,2045,5,11,35
Prince William County,2024,5,5,23
Prince William County,2045,5,5,23
Pulaski County,2024,5,8,25
Pulaski County,2045,5,8,25
Radford City,2024,5,10,35
Radford City,2045,5,10,35
Rappahannock County,2024,5,18,46
Rappahannock County,2045,5,28,46
Richmond City,2024,5,6,20
Richmond City,2045,5,6,20
Richmond County,2024,5,17,45
Richmond County,2045,5,17,45
Roanoke City,2024,5,14,32
Roanoke City,2045,5,14,32
Roanoke County,2024,5,9,44
Roanoke County,2045,5,9,44
Rockbridge County,2024,5,6,20
Rockbridge County,2045,5,6,20
Rockingham County,2024,5,10,35
Rockingham County,2045,5,10,35
Russell County,2024,5,11,35
Russell County,2045,5,11,35
Salem City,2024,5,8,25
Salem City,2045,5,8,25
Scott County,2024,5,15,43
Scott County,2045,5,15,43
Shenandoah County,2024,5,12,36
Shenandoah County,2045,5,12,36
Smyth County,2024,5,14,36
Smyth County,2045,5,14,36
Southampton County,2024,5,12,35
Southampton County,2045,5,12,35
Spotsylvania County,2024,5,16,25
Spotsylvania County,2045,5,16,25
Stafford County,2024,5,16,21
Stafford County,2045,5,16,21
Staunton City,2024,5,14,21
Staunton City,2045,5,14,21
Suffolk City,2024,5,13,26
Suffolk City,2045,5,13,26
Surry County,2024,5,16,27
Surry County,2045,5,16,27
Sussex County,2024,5,18,35
Sussex County,2045,5,18,35
Tazewell County,2024,5,21,26
Tazewell County,2045,5,21,26
Virginia Beach City,2024,5,9,16
Virginia Beach City,2045,5,9,16
Warren County,2024,5,17,19
Warren County,2045,5,17,19
Washington County,2024,5,16,32
Washington County,2045,5,16,32
Waynesboro City,2024,5,17,33
Waynesboro City,2045,5,17,33
Westmoreland County,2024,5,17,37
Westmoreland County,2045,5,17,37
Williamsburg City,2024,5,9,21
Williamsburg City,2045,5,9,21
Winchester City,2024,5,12,23
Winchester City,2045,5,12,23
Wise County,2024,5,19,46
Wise County,2045,5,29,46
Wythe County,2024,5,12,46
Wythe County,2045,5,12,46
York County,2024,5,16,22
York County,2045,5,16,22
