Geo,Year,FuelCost.2024,PowerCost.2024
Dickenson County,2045,3.142,0.1493
Dinwiddie County,2024,3.142,0.1493
Dinwiddie County,2045,3.142,0.1493
Emporia City,2024,3.142,0.1493
Emporia City,2045,3.142,0.1493
Essex County,2024,3.142,0.1493
Essex County,2045,3.142,0.1493
Fairfax City,2024,3.142,0.1493
Fairfax City,2045,3.142,0.1493
Fairfax County,2024,3.142,0.1493
Fairfax County,2045,3.142,0.1493
Falls Church City,2024,3.142,0.1493
Falls Church City,2045,3.142,0.1493
Fauquier County,2024,3.142,0.1493
Fauquier County,2045,3.142,0.1493
Floyd County,2024,3.142,0.1493
Floyd County,2045,3.142,0.1493
Fluvanna County,2024,3.142,0.1493
Fluvanna County,2045,3.142,0.1493
Franklin City,2024,3.142,0.1493
Franklin City,2045,3.142,0.1493
Franklin County,2024,3.142,0.1493
Franklin County,2045,3.142,0.1493
Frederick County,2024,3.142,0.1493
Frederick County,2045,3.142,0.1493
Fredericksburg City,2024,3.142,0.1493
Fredericksburg City,2045,3.142,0.1493
Galax City,2024,3.142,0.1493
Galax City,2045,3.142,0.1493
Giles County,2024,3.142,0.1493
Giles County,2045,3.142,0.1493
Gloucester County,2024,3.142,0.1493
Gloucester County,2045,3.142,0.1493
Goochland County,2024,3.142,0.1493
Goochland County,2045,3.142,0.1493
Grayson County,2024,3.142,0.1493
Grayson County,2045,3.142,0.1493
Greene County,2024,3.142,0.1493
Greene County,2045,3.142,0.1493
Greensville County,2024,3.142,0.1493
Greensville County,2045,3.142,0.1493
Halifax County,2024,3.142,0.1493
Halifax County,2045,3.142,0.1493
Hampton City,2024,3.142,0.1493
Hampton City,2045,3.142,0.1493
Hanover County,2024,3.142,0.1493
Hanover County,2045,3.142,0.1493
Harrisonburg City,2024,3.142,0.1493
Harrisonburg City,2045,3.142,0.1493
Henrico County,2024,3.142,0.1493
Henrico County,2045,3.142,0.1493
Henry County,2024,3.142,0.1493
Henry County,2045,3.142,0.1493
Highland County,2024,3.142,0.1493
Highland County,2045,3.142,0.1493
Hopewell City,2024,3.142,0.1493
Hopewell City,2045,3.142,0.1493
Isle of Wight County,2024,3.142,0.1493
Isle of Wight County,2045,3.142,0.1493
James City County,2024,3.142,0.1493
James City County,2045,3.142,0.1493
King and Queen County,2024,3.142,0.1493
King and Queen County,2045,3.142,0.1493
King George County,2024,3.142,0.1493
King George County,2045,3.142,0.1493
King William County,2024,3.142,0.1493
King William County,2045,3.142,0.1493
Lancaster County,2024,3.142,0.1493
Lancaster County,2045,3.142,0.1493
Lee County,2024,3.142,0.1493
Lee County,2045,3.142,0.1493
Lexington City,2024,3.142,0.1493
Lexington City,2045,3.142,0.1493
Loudoun County,2024,3.142,0.1493
Loudoun County,2045,3.142,0.1493
Louisa County,2024,3.142,0.1493
Louisa County,2045,3.142,0.1493
Lunenburg County,2024,3.142,0.1493
Lunenburg County,2045,3.142,0.1493
Lynchburg City,2024,3.142,0.1493
Lynchburg City,2045,3.142,0.1493
Madison County,2024,3.142,0.1493
Madison County,2045,3.142,0.1493
Manassas City,2024,3.142,0.1493
Manassas City,2045,3.142,0.1493
Manassas Park City,2024,3.142,0.1493
Manassas Park City,2045,3.142,0.1493
Martinsville City,2024,3.142,0.1493
Martinsville City,2045,3.142,0.1493
Mathews County,2024,3.142,0.1493
Mathews County,2045,3.142,0.1493
Mecklenburg County,2024,3.142,0.1493
Mecklenburg County,2045,3.142,0.1493
Middlesex County,2024,3.142,0.1493
Middlesex County,2045,3.142,0.1493
Montgomery County,2024,3.142,0.1493
Montgomery County,2045,3.142,0.1493
Nelson County,2024,3.142,0.1493
Nelson County,2045,3.142,0.1493
New Kent County,2024,3.142,0.1493
New Kent County,2045,3.142,0.1493
Newport News City,2024,3.142,0.1493
Newport News City,2045,3.142,0.1493
Norfolk City,2024,3.142,0.1493
Norfolk City,2045,3.142,0.1493
Northampton County,2024,3.142,0.1493
Northampton County,2045,3.142,0.1493
Northumberland County,2024,3.142,0.1493
Northumberland County,2045,3.142,0.1493
Norton City,2024,3.142,0.1493
Norton City,2045,3.142,0.1493
Nottoway County,2024,3.142,0.1493
Nottoway County,2045,3.142,0.1493
Orange County,2024,3.142,0.1493
Orange County,2045,3.142,0.1493
Page County,2024,3.142,0.1493
Page County,2045,3.142,0.1493
Patrick County,2024,3.142,0.1493
Patrick County,2045,3.142,0.1493
Petersburg City,2024,3.142,0.1493
Petersburg City,2045,3.142,0.1493
Pittsylvania County,2024,3.142,0.1493
Pittsylvania County,2045,3.142,0.1493
Poquoson City,2024,3.142,0.1493
Poquoson City,2045,3.142,0.1493
Portsmouth City,2024,3.142,0.1493
Portsmouth City,2045,3.142,0.1493
Powhatan County,2024,3.142,0.1493
Powhatan County,2045,3.142,0.1493
Prince Edward County,2024,3.142,0.1493
Prince Edward County,2045,3.142,0.1493
Prince George County,2024,3.142,0.1493
Prince George County,2045,3.142,0.1493
Prince William County,2024,3.142,0.1493
Prince William County,2045,3.142,0.1493
Pulaski County,2024,3.142,0.1493
Pulaski County,2045,3.142,0.1493
Radford City,2024,3.142,0.1493
Radford City,2045,3.142,0.1493
Rappahannock County,2024,3.142,0.1493
Rappahannock County,2045,3.142,0.1493
Richmond City,2024,3.142,0.1493
Richmond City,2045,3.142,0.1493
Richmond County,2024,3.142,0.1493
Richmond County,2045,3.142,0.1493
Roanoke City,2024,3.142,0.1493
Roanoke City,2045,3.142,0.1493
Roanoke County,2024,3.142,0.1493
Roanoke County,2045,3.142,0.1493
Rockbridge County,2024,3.142,0.1493
Rockbridge County,2045,3.142,0.1493
Rockingham County,2024,3.142,0.1493
Rockingham County,2045,3.142,0.1493
Russell County,2024,3.142,0.1493
Russell County,2045,3.142,0.1493
Salem City,2024,3.142,0.1493
Salem City,2045,3.142,0.1493
Scott County,2024,3.142,0.1493
Scott County,2045,3.142,0.1493
Shenandoah County,2024,3.142,0.1493
Shenandoah County,2045,3.142,0.1493
Smyth County,2024,3.142,0.1493
Smyth County,2045,3.142,0.1493
Southampton County,2024,3.142,0.1493
Southampton County,2045,3.142,0.1493
Spotsylvania County,2024,3.142,0.1493
Spotsylvania County,2045,3.142,0.1493
Stafford County,2024,3.142,0.1493
Stafford County,2045,3.142,0.1493
Staunton City,2024,3.142,0.1493
Staunton City,2045,3.142,0.1493
Suffolk City,2024,3.142,0.1493
Suffolk City,2045,3.142,0.1493
Surry County,2024,3.142,0.1493
Surry County,2045,3.142,0.1493
Sussex County,2024,3.142,0.1493
Sussex County,2045,3.142,0.1493
Tazewell County,2024,3.142,0.1493
Tazewell County,2045,3.142,0.1493
Virginia Beach City,2024,3.142,0.1493
Virginia Beach City,2045,3.142,0.1493
Warren County,2024,3.142,0.1493
Warren County,2045,3.142,0.1493
Washington County,2024,3.142,0.1493
Washington County,2045,3.142,0.1493
Waynesboro City,2024,3.142,0.1493
Waynesboro City,2045,3.142,0.1493
Westmoreland County,2024,3.142,0.1493
Westmoreland County,2045,3.142,0.1493
Williamsburg City,2024,3.142,0.1493
Williamsburg City,2045,3.142,0.1493
Winchester City,2024,3.142,0.1493
Winchester City,2045,3.142,0.1493
Wise County,2024,3.142,0.1493
Wise County,2045,3.142,0.1493
Wythe County,2024,3.142,0.1493
Wythe County,2045,3.142,0.1493
York County,2024,3.142,0.1493
York County,2045,3.142,0.1493
