Geo,Year,PropSFChargingAvail,PropMFChargingAvail,PropGQChargingAvail
Loudoun County,2024,0.58,0.30,0.25
Loudoun County,2045,0.58,0.30,0.25
Louisa County,2024,0.58,0.30,0.25
Louisa County,2045,0.58,0.30,0.25
Lunenburg County,2024,0.58,0.30,0.25
Lunenburg County,2045,0.58,0.30,0.25
Lynchburg City,2024,0.58,0.30,0.25
Lynchburg City,2045,0.58,0.30,0.25
Madison County,2024,0.58,0.30,0.25
Madison County,2045,0.58,0.30,0.25
Manassas City,2024,0.58,0.30,0.25
Manassas City,2045,0.58,0.30,0.25
Manassas Park City,2024,0.58,0.30,0.25
Manassas Park City,2045,0.58,0.30,0.25
Martinsville City,2024,0.58,0.30,0.25
Martinsville City,2045,0.58,0.30,0.25
Mathews County,2024,0.58,0.30,0.25
Mathews County,2045,0.58,0.30,0.25
Mecklenburg County,2024,0.58,0.30,0.25
Mecklenburg County,2045,0.58,0.30,0.25
Middlesex County,2024,0.58,0.30,0.25
Middlesex County,2045,0.58,0.30,0.25
Montgomery County,2024,0.58,0.30,0.25
Montgomery County,2045,0.58,0.30,0.25
Nelson County,2024,0.58,0.30,0.25
Nelson County,2045,0.58,0.30,0.25
New Kent County,2024,0.58,0.30,0.25
New Kent County,2045,0.58,0.30,0.25
Newport News City,2024,0.58,0.30,0.25
Newport News City,2045,0.58,0.30,0.25
Norfolk City,2024,0.58,0.30,0.25
Norfolk City,2045,0.58,0.30,0.25
Northampton County,2024,0.58,0.30,0.25
Northampton County,2045,0.58,0.30,0.25
Northumberland County,2024,0.58,0.30,0.25
Northumberland County,2045,0.58,0.30,0.25
Norton City,2024,0.58,0.30,0.25
Norton City,2045,0.58,0.30,0.25
Nottoway County,2024,0.58,0.30,0.25
Nottoway County,2045,0.58,0.30,0.25
Orange County,2024,0.58,0.30,0.25
Orange County,2045,0.58,0.30,0.25
Page County,2024,0.58,0.30,0.25
Page County,2045,0.58,0.30,0.25
Patrick County,2024,0.58,0.30,0.25
Patrick County,2045,0.58,0.30,0.25
Petersburg City,2024,0.58,0.30,0.25
Petersburg City,2045,0.58,0.30,0.25
Pittsylvania County,2024,0.58,0.30,0.25
Pittsylvania County,2045,0.58,0.30,0.25
Poquoson City,2024,0.58,0.30,0.25
Poquoson City,2045,0.58,0.30,0.25
Portsmouth City,2024,0.58,0.30,0.25
Portsmouth City,2045,0.58,0.30,0.25
Powhatan County,2024,0.58,0.30,0.25
Powhatan County,2045,0.58,0.30,0.25
Prince Edward County,2024,0.58,0.30,0.25
Prince Edward County,2045,0.58,0.30,0.25
Prince George County,2024,0.58,0.30,0.25
Prince George County,2045,0.58,0.30,0.25
Prince William County,2024,0.58,0.30,0.25
Prince William County,2045,0.58,0.30,0.25
Pulaski County,2024,0.58,0.30,0.25
Pulaski County,2045,0.58,0.30,0.25
Radford City,2024,0.58,0.30,0.25
Radford City,2045,0.58,0.30,0.25
Rappahannock County,2024,0.58,0.30,0.25
Rappahannock County,2045,0.58,0.30,0.25
Richmond City,2024,0.58,0.30,0.25
Richmond City,2045,0.58,0.30,0.25
Richmond County,2024,0.58,0.30,0.25
Richmond County,2045,0.58,0.30,0.25
Roanoke City,2024,0.58,0.30,0.25
Roanoke City,2045,0.58,0.30,0.25
Roanoke County,2024,0.58,0.30,0.25
Roanoke County,2045,0.58,0.30,0.25
Rockbridge County,2024,0.58,0.30,0.25
Rockbridge County,2045,0.58,0.30,0.25
Rockingham County,2024,0.58,0.30,0.25
Rockingham County,2045,0.58,0.30,0.25
Russell County,2024,0.58,0.30,0.25
Russell County,2045,0.58,0.30,0.25
Salem City,2024,0.58,0.30,0.25
Salem City,2045,0.58,0.30,0.25
Scott County,2024,0.58,0.30,0.25
Scott County,2045,0.58,0.30,0.25
Shenandoah County,2024,0.58,0.30,0.25
Shenandoah County,2045,0.58,0.30,0.25
Smyth County,2024,0.58,0.30,0.25
Smyth County,2045,0.58,0.30,0.25
Southampton County,2024,0.58,0.30,0.25
Southampton County,2045,0.58,0.30,0.25
Spotsylvania County,2024,0.58,0.30,0.25
Spotsylvania County,2045,0.58,0.30,0.25
Stafford County,2024,0.58,0.30,0.25
Stafford County,2045,0.58,0.30,0.25
Staunton City,2024,0.58,0.30,0.25
Staunton City,2045,0.58,0.30,0.25
Suffolk City,2024,0.58,0.30,0.25
Suffolk City,2045,0.58,0.30,0.25
Surry County,2024,0.58,0.30,0.25
Surry County,2045,0.58,0.30,0.25
Sussex County,2024,0.58,0.30,0.25
Sussex County,2045,0.58,0.30,0.25
Tazewell County,2024,0.58,0.30,0.25
Tazewell County,2045,0.58,0.30,0.25
Virginia Beach City,2024,0.58,0.30,0.25
Virginia Beach City,2045,0.58,0.30,0.25
Warren County,2024,0.58,0.30,0.25
Warren County,2045,0.58,0.30,0.25
Washington County,2024,0.58,0.30,0.25
Washington County,2045,0.58,0.30,0.25
Waynesboro City,2024,0.58,0.30,0.25
Waynesboro City,2045,0.58,0.30,0.25
Westmoreland County,2024,0.58,0.30,0.25
Westmoreland County,2045,0.58,0.30,0.25
Williamsburg City,2024,0.58,0.30,0.25
Williamsburg City,2045,0.58,0.30,0.25
Winchester City,2024,0.58,0.30,0.25
Winchester City,2045,0.58,0.30,0.25
Wise County,2024,0.58,0.30,0.25
Wise County,2045,0.58,0.30,0.25
Wythe County,2024,0.58,0.30,0.25
Wythe County,2045,0.58,0.30,0.25
York County,2024,0.58,0.30,0.25
York County,2045,0.58,0.30,0.25
