Geo,Year,LtTrkProp
Roanoke City,2024,0.453
Salem City,2024,0.526
Staunton City,2024,0.474
Suffolk City,2024,0.494
Virginia Beach City,2024,0.498
Waynesboro City,2024,0.482
Williamsburg City,2024,0.422
Winchester City,2024,0.468
Accomack County,2045,0.548
Albemarle County,2045,0.501
Alleghany County,2045,0.596
Amelia County,2045,0.606
Amherst County,2045,0.57
Appomattox County,2045,0.594
Arlington County,2045,0.376
Augusta County,2045,0.589
Bath County,2045,0.651
Bedford County,2045,0.577
Bland County,2045,0.642
Botetourt County,2045,0.604
Brunswick County,2045,0.528
Buchanan County,2045,0.672
Buckingham County,2045,0.567
Campbell County,2045,0.556
Caroline County,2045,0.523
Carroll County,2045,0.585
Charles City County,2045,0.538
Charlotte County,2045,0.589
Chesterfield County,2045,0.487
Clarke County,2045,0.574
Craig County,2045,0.622
Culpeper County,2045,0.554
Cumberland County,2045,0.568
Dickenson County,2045,0.673
Dinwiddie County,2045,0.544
Essex County,2045,0.541
Fairfax County,2045,0.438
Fauquier County,2045,0.569
Floyd County,2045,0.597
Fluvanna County,2045,0.53
Franklin County,2045,0.582
Frederick County,2045,0.552
Giles County,2045,0.61
Gloucester County,2045,0.579
Goochland County,2045,0.59
Grayson County,2045,0.599
Greene County,2045,0.565
Greensville County,2045,0.507
Halifax County,2045,0.563
Hanover County,2045,0.574
Henrico County,2045,0.46
Henry County,2045,0.516
Highland County,2045,0.677
Isle of Wight County,2045,0.553
James City County,2045,0.483
King and Queen County,2045,0.58
King George County,2045,0.537
King William County,2045,0.588
Lancaster County,2045,0.541
Lee County,2045,0.627
Loudoun County,2045,0.488
Louisa County,2045,0.566
Lunenburg County,2045,0.591
Madison County,2045,0.61
Mathews County,2045,0.59
Mecklenburg County,2045,0.57
Middlesex County,2045,0.593
Montgomery County,2045,0.527
Nelson County,2045,0.576
New Kent County,2045,0.571
Northampton County,2045,0.552
Northumberland County,2045,0.578
Nottoway County,2045,0.561
Orange County,2045,0.548
Page County,2045,0.588
Patrick County,2045,0.58
Pittsylvania County,2045,0.565
Powhatan County,2045,0.597
Prince Edward County,2045,0.537
Prince George County,2045,0.536
Prince William County,2045,0.469
Pulaski County,2045,0.558
Rappahannock County,2045,0.604
Richmond County,2045,0.55
Roanoke County,2045,0.528
Rockbridge County,2045,0.604
Rockingham County,2045,0.582
Russell County,2045,0.63
Scott County,2045,0.626
Shenandoah County,2045,0.567
Smyth County,2045,0.582
Southampton County,2045,0.583
Spotsylvania County,2045,0.514
Stafford County,2045,0.506
Surry County,2045,0.547
Sussex County,2045,0.526
Tazewell County,2045,0.632
Warren County,2045,0.557
Washington County,2045,0.588
Westmoreland County,2045,0.539
Wise County,2045,0.64
Wythe County,2045,0.598
York County,2045,0.515
Alexandria City,2045,0.367
Bristol City,2045,0.498
Buena Vista City,2045,0.537
Charlottesville City,2045,0.407
Chesapeake City,2045,0.507
Colonial Heights City,2045,0.484
Covington City,2045,0.537
Danville City,2045,0.446
Emporia City,2045,0.434
Fairfax City,2045,0.418
Falls Church City,2045,0.386
Franklin City,2045,0.458
Fredericksburg City,2045,0.429
Galax City,2045,0.517
Hampton City,2045,0.423
Harrisonburg City,2045,0.446
Hopewell City,2045,0.446
Lexington City,2045,0.456
Lynchburg City,2045,0.465
Manassas City,2045,0.457
Manassas Park City,2045,0.484
Martinsville City,2045,0.426
Newport News City,2045,0.424
Norfolk City,2045,0.431
Norton City,2045,0.589
Petersburg City,2045,0.37
Poquoson City,2045,0.593
Portsmouth City,2045,0.432
Radford City,2045,0.49
Richmond City,2045,0.412
Roanoke City,2045,0.453
Salem City,2045,0.526
Staunton City,2045,0.474
Suffolk City,2045,0.494
Virginia Beach City,2045,0.498
Waynesboro City,2045,0.482
Williamsburg City,2045,0.422
Winchester City,2045,0.468
