Year,Geo,AveVehPerDriver
2024,Manassas City,0.571837396
2045,Manassas City,0.493463742
2024,Manassas Park City,0.937101331
2045,Manassas Park City,0.808666123
2024,Martinsville City,0.764455102
2045,Martinsville City,0.659682068
2024,Mathews County,1.131771076
2045,Mathews County,0.976655243
2024,Mecklenburg County,1.27031326
2045,Mecklenburg County,1.096209412
2024,Middlesex County,1.188118292
2045,Middlesex County,1.025279744
2024,Montgomery County,1.876293384
2045,Montgomery County,1.619136423
2024,Nelson County,1.115111991
2045,Nelson County,0.962279383
2024,New Kent County,1.126272433
2045,New Kent County,0.971910221
2024,Newport News City,1.083672991
2045,Newport News City,0.935149281
2024,Norfolk City,1.147731942
2045,Norfolk City,0.990428579
2024,Northampton County,1.211535121
2045,Northampton County,1.04548716
2024,Northumberland County,1.078548542
2045,Northumberland County,0.930727168
2024,Norton City,0.877446691
2045,Norton City,0.7571875
2024,Nottoway County,1.330827129
2045,Nottoway County,1.148429502
2024,Orange County,1.148241654
2045,Orange County,0.990868432
2024,Page County,1.300721772
2045,Page County,1.12245026
2024,Patrick County,1.339596978
2045,Patrick County,1.155997392
2024,Petersburg City,0.940375241
2045,Petersburg City,0.811491325
2024,Pittsylvania County,1.296819737
2045,Pittsylvania County,1.119083022
2024,Poquoson City,1.086377755
2045,Poquoson City,0.937483342
2024,Portsmouth City,1.058370762
2045,Portsmouth City,0.913314871
2024,Powhatan County,1.044107805
2045,Powhatan County,0.901006736
2024,Prince Edward County,1.245780721
2045,Prince Edward County,1.075039201
2024,Prince George County,1.229595161
2045,Prince George County,1.061071967
2024,Prince William County,0.9962257
2045,Prince William County,0.859687152
2024,Pulaski County,1.478589434
2045,Pulaski County,1.27594012
2024,Radford City,1.132040975
2045,Radford City,0.976888151
2024,Rappahannock County,0.988424792
2045,Rappahannock County,0.852955404
2024,Richmond City,0.915115503
2045,Richmond City,0.789693581
2024,Richmond County,0.987751012
2045,Richmond County,0.85237397
2024,Roanoke City,0.988648364
2045,Roanoke City,0.853148335
2024,Roanoke County,1.134379544
2045,Roanoke County,0.978906205
2024,Rockbridge County,1.313373634
2045,Rockbridge County,1.133368111
2024,Rockingham County,1.233103911
2045,Rockingham County,1.064099822
2024,Russell County,1.091044569
2045,Russell County,0.941510542
2024,Salem City,0.917564693
2045,Salem City,0.791807096
2024,Scott County,1.207854588
2045,Scott County,1.042311066
2024,Shenandoah County,1.306195652
2045,Shenandoah County,1.127173913
2024,Smyth County,1.318897395
2045,Smyth County,1.138134808
2024,Southampton County,1.39883435
2045,Southampton County,1.207115937
2024,Spotsylvania County,1.281952964
2045,Spotsylvania County,1.106253827
2024,Stafford County,1.086220563
2045,Stafford County,0.937347694
2024,Staunton City,0.951867245
2045,Staunton City,0.821408282
2024,Suffolk City,1.085402195
2045,Suffolk City,0.936641488
2024,Surry County,1.203227786
2045,Surry County,1.038318394
2024,Sussex County,1.28353103
2045,Sussex County,1.107615609
2024,Tazewell County,1.188812047
2045,Tazewell County,1.025878416
2024,Virginia Beach City,1.054601838
2045,Virginia Beach City,0.9100625
2024,Warren County,1.362760425
2045,Warren County,1.175986154
2024,Washington County,1.289627514
2045,Washington County,1.112876535
2024,Waynesboro City,0.91315229
2045,Waynesboro City,0.787999438
2024,Westmoreland County,1.305923948
2045,Westmoreland County,1.126939447
2024,Williamsburg City,0.278498925
2045,Williamsburg City,0.240329021
2024,Winchester City,0.73058552
2045,Winchester City,0.63045451
2024,Wise County,1.140710554
2045,Wise County,0.984369514
2024,Wythe County,1.379389658
2045,Wythe County,1.190336253
2024,York County,1.210825788
2045,York County,1.044875045
