Geo,Year,TransitEthanolPropGasoline,TransitBiodieselPropDiesel,TransitRngPropCng
Dinwiddie County,2045,0.11,0.1,1
Emporia City,2024,0.11,0.1,1
Emporia City,2045,0.11,0.1,1
Essex County,2024,0.11,0.1,1
Essex County,2045,0.11,0.1,1
Fairfax City,2024,0.11,0.1,1
Fairfax City,2045,0.11,0.1,1
Fairfax County,2024,0.11,0.1,1
Fairfax County,2045,0.11,0.1,1
Falls Church City,2024,0.11,0.1,1
Falls Church City,2045,0.11,0.1,1
Fauquier County,2024,0.11,0.1,1
Fauquier County,2045,0.11,0.1,1
Floyd County,2024,0.11,0.1,1
Floyd County,2045,0.11,0.1,1
Fluvanna County,2024,0.11,0.1,1
Fluvanna County,2045,0.11,0.1,1
Franklin City,2024,0.11,0.1,1
Franklin City,2045,0.11,0.1,1
Franklin County,2024,0.11,0.1,1
Franklin County,2045,0.11,0.1,1
Frederick County,2024,0.11,0.1,1
Frederick County,2045,0.11,0.1,1
Fredericksburg City,2024,0.11,0.1,1
Fredericksburg City,2045,0.11,0.1,1
Galax City,2024,0.11,0.1,1
Galax City,2045,0.11,0.1,1
Giles County,2024,0.11,0.1,1
Giles County,2045,0.11,0.1,1
Gloucester County,2024,0.11,0.1,1
Gloucester County,2045,0.11,0.1,1
Goochland County,2024,0.11,0.1,1
Goochland County,2045,0.11,0.1,1
Grayson County,2024,0.11,0.1,1
Grayson County,2045,0.11,0.1,1
Greene County,2024,0.11,0.1,1
Greene County,2045,0.11,0.1,1
Greensville County,2024,0.11,0.1,1
Greensville County,2045,0.11,0.1,1
Halifax County,2024,0.11,0.1,1
Halifax County,2045,0.11,0.1,1
Hampton City,2024,0.11,0.1,1
Hampton City,2045,0.11,0.1,1
Hanover County,2024,0.11,0.1,1
Hanover County,2045,0.11,0.1,1
Harrisonburg City,2024,0.11,0.1,1
Harrisonburg City,2045,0.11,0.1,1
Henrico County,2024,0.11,0.1,1
Henrico County,2045,0.11,0.1,1
Henry County,2024,0.11,0.1,1
Henry County,2045,0.11,0.1,1
Highland County,2024,0.11,0.1,1
Highland County,2045,0.11,0.1,1
Hopewell City,2024,0.11,0.1,1
Hopewell City,2045,0.11,0.1,1
Isle of Wight County,2024,0.11,0.1,1
Isle of Wight County,2045,0.11,0.1,1
James City County,2024,0.11,0.1,1
James City County,2045,0.11,0.1,1
King and Queen County,2024,0.11,0.1,1
King and Queen County,2045,0.11,0.1,1
King George County,2024,0.11,0.1,1
King George County,2045,0.11,0.1,1
King William County,2024,0.11,0.1,1
King William County,2045,0.11,0.1,1
Lancaster County,2024,0.11,0.1,1
Lancaster County,2045,0.11,0.1,1
Lee County,2024,0.11,0.1,1
Lee County,2045,0.11,0.1,1
Lexington City,2024,0.11,0.1,1
Lexington City,2045,0.11,0.1,1
Loudoun County,2024,0.11,0.1,1
Loudoun County,2045,0.11,0.1,1
Louisa County,2024,0.11,0.1,1
Louisa County,2045,0.11,0.1,1
Lunenburg County,2024,0.11,0.1,1
Lunenburg County,2045,0.11,0.1,1
Lynchburg City,2024,0.11,0.1,1
Lynchburg City,2045,0.11,0.1,1
Madison County,2024,0.11,0.1,1
Madison County,2045,0.11,0.1,1
Manassas City,2024,0.11,0.1,1
Manassas City,2045,0.11,0.1,1
Manassas Park City,2024,0.11,0.1,1
Manassas Park City,2045,0.11,0.1,1
Martinsville City,2024,0.11,0.1,1
Martinsville City,2045,0.11,0.1,1
Mathews County,2024,0.11,0.1,1
Mathews County,2045,0.11,0.1,1
Mecklenburg County,2024,0.11,0.1,1
Mecklenburg County,2045,0.11,0.1,1
Middlesex County,2024,0.11,0.1,1
Middlesex County,2045,0.11,0.1,1
Montgomery County,2024,0.11,0.1,1
Montgomery County,2045,0.11,0.1,1
Nelson County,2024,0.11,0.1,1
Nelson County,2045,0.11,0.1,1
New Kent County,2024,0.11,0.1,1
New Kent County,2045,0.11,0.1,1
Newport News City,2024,0.11,0.1,1
Newport News City,2045,0.11,0.1,1
Norfolk City,2024,0.11,0.1,1
Norfolk City,2045,0.11,0.1,1
Northampton County,2024,0.11,0.1,1
Northampton County,2045,0.11,0.1,1
Northumberland County,2024,0.11,0.1,1
Northumberland County,2045,0.11,0.1,1
Norton City,2024,0.11,0.1,1
Norton City,2045,0.11,0.1,1
Nottoway County,2024,0.11,0.1,1
Nottoway County,2045,0.11,0.1,1
Orange County,2024,0.11,0.1,1
Orange County,2045,0.11,0.1,1
Page County,2024,0.11,0.1,1
Page County,2045,0.11,0.1,1
Patrick County,2024,0.11,0.1,1
Patrick County,2045,0.11,0.1,1
Petersburg City,2024,0.11,0.1,1
Petersburg City,2045,0.11,0.1,1
Pittsylvania County,2024,0.11,0.1,1
Pittsylvania County,2045,0.11,0.1,1
Poquoson City,2024,0.11,0.1,1
Poquoson City,2045,0.11,0.1,1
Portsmouth City,2024,0.11,0.1,1
Portsmouth City,2045,0.11,0.1,1
Powhatan County,2024,0.11,0.1,1
Powhatan County,2045,0.11,0.1,1
Prince Edward County,2024,0.11,0.1,1
Prince Edward County,2045,0.11,0.1,1
Prince George County,2024,0.11,0.1,1
Prince George County,2045,0.11,0.1,1
Prince William County,2024,0.11,0.1,1
Prince William County,2045,0.11,0.1,1
Pulaski County,2024,0.11,0.1,1
Pulaski County,2045,0.11,0.1,1
Radford City,2024,0.11,0.1,1
Radford City,2045,0.11,0.1,1
Rappahannock County,2024,0.11,0.1,1
Rappahannock County,2045,0.11,0.1,1
Richmond City,2024,0.11,0.1,1
Richmond City,2045,0.11,0.1,1
Richmond County,2024,0.11,0.1,1
Richmond County,2045,0.11,0.1,1
Roanoke City,2024,0.11,0.1,1
Roanoke City,2045,0.11,0.1,1
Roanoke County,2024,0.11,0.1,1
Roanoke County,2045,0.11,0.1,1
Rockbridge County,2024,0.11,0.1,1
Rockbridge County,2045,0.11,0.1,1
Rockingham County,2024,0.11,0.1,1
Rockingham County,2045,0.11,0.1,1
Russell County,2024,0.11,0.1,1
Russell County,2045,0.11,0.1,1
Salem City,2024,0.11,0.1,1
Salem City,2045,0.11,0.1,1
Scott County,2024,0.11,0.1,1
Scott County,2045,0.11,0.1,1
Shenandoah County,2024,0.11,0.1,1
Shenandoah County,2045,0.11,0.1,1
Smyth County,2024,0.11,0.1,1
Smyth County,2045,0.11,0.1,1
Southampton County,2024,0.11,0.1,1
Southampton County,2045,0.11,0.1,1
Spotsylvania County,2024,0.11,0.1,1
Spotsylvania County,2045,0.11,0.1,1
Stafford County,2024,0.11,0.1,1
Stafford County,2045,0.11,0.1,1
Staunton City,2024,0.11,0.1,1
Staunton City,2045,0.11,0.1,1
Suffolk City,2024,0.11,0.1,1
Suffolk City,2045,0.11,0.1,1
Surry County,2024,0.11,0.1,1
Surry County,2045,0.11,0.1,1
Sussex County,2024,0.11,0.1,1
Sussex County,2045,0.11,0.1,1
Tazewell County,2024,0.11,0.1,1
Tazewell County,2045,0.11,0.1,1
Virginia Beach City,2024,0.11,0.1,1
Virginia Beach City,2045,0.11,0.1,1
Warren County,2024,0.11,0.1,1
Warren County,2045,0.11,0.1,1
Washington County,2024,0.11,0.1,1
Washington County,2045,0.11,0.1,1
Waynesboro City,2024,0.11,0.1,1
Waynesboro City,2045,0.11,0.1,1
Westmoreland County,2024,0.11,0.1,1
Westmoreland County,2045,0.11,0.1,1
Williamsburg City,2024,0.11,0.1,1
Williamsburg City,2045,0.11,0.1,1
Winchester City,2024,0.11,0.1,1
Winchester City,2045,0.11,0.1,1
Wise County,2024,0.11,0.1,1
Wise County,2045,0.11,0.1,1
Wythe County,2024,0.11,0.1,1
Wythe County,2045,0.11,0.1,1
York County,2024,0.11,0.1,1
York County,2045,0.11,0.1,1
