Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
Martinsville City,2045,0,0.5,0.5,0.2,0,0
Mathews County,2024,0,0.5,0.5,0.1,0,0
Mathews County,2045,0,0.5,0.5,0.2,0,0
Mecklenburg County,2024,0,0.5,0.5,0.1,0,0
Mecklenburg County,2045,0,0.5,0.5,0.2,0,0
Middlesex County,2024,0,0.5,0.5,0.1,0,0
Middlesex County,2045,0,0.5,0.5,0.2,0,0
Montgomery County,2024,0,0.5,0.5,0.1,0,0
Montgomery County,2045,0,0.5,0.5,0.2,0,0
Nelson County,2024,0,0.5,0.5,0.1,0,0
Nelson County,2045,0,0.5,0.5,0.2,0,0
New Kent County,2024,0,0.5,0.5,0.1,0,0
New Kent County,2045,0,0.5,0.5,0.2,0,0
Newport News City,2024,0,0.5,0.5,0.1,0,0
Newport News City,2045,0,0.5,0.5,0.2,0,0
Norfolk City,2024,0,0.5,0.5,0.1,0,0
Norfolk City,2045,0,0.5,0.5,0.2,0,0
Northampton County,2024,0,0.5,0.5,0.1,0,0
Northampton County,2045,0,0.5,0.5,0.2,0,0
Northumberland County,2024,0,0.5,0.5,0.1,0,0
Northumberland County,2045,0,0.5,0.5,0.2,0,0
Norton City,2024,0,0.5,0.5,0.1,0,0
Norton City,2045,0,0.5,0.5,0.2,0,0
Nottoway County,2024,0,0.5,0.5,0.1,0,0
Nottoway County,2045,0,0.5,0.5,0.2,0,0
Orange County,2024,0,0.5,0.5,0.1,0,0
Orange County,2045,0,0.5,0.5,0.2,0,0
Page County,2024,0,0.5,0.5,0.1,0,0
Page County,2045,0,0.5,0.5,0.2,0,0
Patrick County,2024,0,0.5,0.5,0.1,0,0
Patrick County,2045,0,0.5,0.5,0.2,0,0
Petersburg City,2024,0,0.5,0.5,0.1,0,0
Petersburg City,2045,0,0.5,0.5,0.2,0,0
Pittsylvania County,2024,0,0.5,0.5,0.1,0,0
Pittsylvania County,2045,0,0.5,0.5,0.2,0,0
Poquoson City,2024,0,0.5,0.5,0.1,0,0
Poquoson City,2045,0,0.5,0.5,0.2,0,0
Portsmouth City,2024,0,0.5,0.5,0.1,0,0
Portsmouth City,2045,0,0.5,0.5,0.2,0,0
Powhatan County,2024,0,0.5,0.5,0.1,0,0
Powhatan County,2045,0,0.5,0.5,0.2,0,0
Prince Edward County,2024,0,0.5,0.5,0.1,0,0
Prince Edward County,2045,0,0.5,0.5,0.2,0,0
Prince George County,2024,0,0.5,0.5,0.1,0,0
Prince George County,2045,0,0.5,0.5,0.2,0,0
Prince William County,2024,0.05,0.5,0.5,0.1,0,0
Prince William County,2045,0.05,0.5,0.5,0.2,0,0
Pulaski County,2024,0,0.5,0.5,0.1,0,0
Pulaski County,2045,0,0.5,0.5,0.2,0,0
Radford City,2024,0,0.5,0.5,0.1,0,0
Radford City,2045,0,0.5,0.5,0.2,0,0
Rappahannock County,2024,0,0.5,0.5,0.1,0,0
Rappahannock County,2045,0,0.5,0.5,0.2,0,0
Richmond City,2024,0,0.5,0.5,0.1,0,0
Richmond City,2045,0,0.5,0.5,0.2,0,0
Richmond County,2024,0,0.5,0.5,0.1,0,0
Richmond County,2045,0,0.5,0.5,0.2,0,0
Roanoke City,2024,0,0.5,0.5,0.1,0,0
Roanoke City,2045,0,0.5,0.5,0.2,0,0
Roanoke County,2024,0,0.5,0.5,0.1,0,0
Roanoke County,2045,0,0.5,0.5,0.2,0,0
Rockbridge County,2024,0,0.5,0.5,0.1,0,0
Rockbridge County,2045,0,0.5,0.5,0.2,0,0
Rockingham County,2024,0,0.5,0.5,0.1,0,0
Rockingham County,2045,0,0.5,0.5,0.2,0,0
Russell County,2024,0,0.5,0.5,0.1,0,0
Russell County,2045,0,0.5,0.5,0.2,0,0
Salem City,2024,0,0.5,0.5,0.1,0,0
Salem City,2045,0,0.5,0.5,0.2,0,0
Scott County,2024,0,0.5,0.5,0.1,0,0
Scott County,2045,0,0.5,0.5,0.2,0,0
Shenandoah County,2024,0,0.5,0.5,0.1,0,0
Shenandoah County,2045,0,0.5,0.5,0.2,0,0
Smyth County,2024,0,0.5,0.5,0.1,0,0
Smyth County,2045,0,0.5,0.5,0.2,0,0
Southampton County,2024,0,0.5,0.5,0.1,0,0
Southampton County,2045,0,0.5,0.5,0.2,0,0
Spotsylvania County,2024,0,0.5,0.5,0.1,0,0
Spotsylvania County,2045,0,0.5,0.5,0.2,0,0
Stafford County,2024,0,0.5,0.5,0.1,0,0
Stafford County,2045,0,0.5,0.5,0.2,0,0
Staunton City,2024,0,0.5,0.5,0.1,0,0
Staunton City,2045,0,0.5,0.5,0.2,0,0
Suffolk City,2024,0,0.5,0.5,0.1,0,0
Suffolk City,2045,0,0.5,0.5,0.2,0,0
Surry County,2024,0,0.5,0.5,0.1,0,0
Surry County,2045,0,0.5,0.5,0.2,0,0
Sussex County,2024,0,0.5,0.5,0.1,0,0
Sussex County,2045,0,0.5,0.5,0.2,0,0
Tazewell County,2024,0,0.5,0.5,0.1,0,0
Tazewell County,2045,0,0.5,0.5,0.2,0,0
Virginia Beach City,2024,0,0.5,0.5,0.1,0,0
Virginia Beach City,2045,0,0.5,0.5,0.2,0,0
Warren County,2024,0,0.5,0.5,0.1,0,0
Warren County,2045,0,0.5,0.5,0.2,0,0
Washington County,2024,0,0.5,0.5,0.1,0,0
Washington County,2045,0,0.5,0.5,0.2,0,0
Waynesboro City,2024,0,0.5,0.5,0.1,0,0
Waynesboro City,2045,0,0.5,0.5,0.2,0,0
Westmoreland County,2024,0,0.5,0.5,0.1,0,0
Westmoreland County,2045,0,0.5,0.5,0.2,0,0
Williamsburg City,2024,0,0.5,0.5,0.1,0,0
Williamsburg City,2045,0,0.5,0.5,0.2,0,0
Winchester City,2024,0,0.5,0.5,0.1,0,0
Winchester City,2045,0,0.5,0.5,0.2,0,0
Wise County,2024,0,0.5,0.5,0.1,0,0
Wise County,2045,0,0.5,0.5,0.2,0,0
Wythe County,2024,0,0.5,0.5,0.1,0,0
Wythe County,2045,0,0.5,0.5,0.2,0,0
York County,2024,0,0.5,0.5,0.1,0,0
York County,2045,0,0.5,0.5,0.2,0,0
