Geo,Year,PropUrbanSFDU,PropUrbanMFDU,PropUrbanGQDU,PropTownSFDU,PropTownMFDU,PropTownGQDU
510030104022,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030104023,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030105011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030105012,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030105021,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030105022,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030105023,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030106021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030106022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030106023,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030106031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030106032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030106041,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030106042,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030106043,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030107011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030107012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030107021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030107022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030107023,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030108011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030108012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030108013,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030108021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030108022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030109011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030109012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030109041,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030109042,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030109043,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030110001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030110002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030110003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030110004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030110005,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030111011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030111012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030111013,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030111021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030111022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030111031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030111032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030111033,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030111034,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030111035,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030112011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030112012,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030112013,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030112021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030112022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030112023,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030112024,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030113011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030113012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030113013,2024,0.00,0.00,0.00,1.00,1.00,1.00
510030113014,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030113015,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030113021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030113022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030113023,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030113024,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030113031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030113032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510030114001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030114002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030114003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510030114004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510050701001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050701002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050701003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050701004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050801001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050801002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050801003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050802011,2024,0.00,0.00,0.00,1.00,1.00,1.00
510050802012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050802021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510050802022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510050802023,2024,0.00,0.00,0.00,1.00,1.00,1.00
510050803011,2024,0.00,0.00,0.00,1.00,1.00,1.00
510050803021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510050803022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079301011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079301012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079301021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079301022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079301023,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079302001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079302002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079302003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510079302004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090101001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090101002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090101003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090101004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090102011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090102012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090102013,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090102021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090102022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090103001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090103002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090103003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090104011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090104012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090104021,2024,0.00,0.00,0.00,1.00,1.00,1.00
510090104022,2024,0.00,0.00,0.00,1.00,1.00,1.00
510090105041,2024,1.00,1.00,1.00,0.00,0.00,0.00
510090105042,2024,1.00,1.00,1.00,0.00,0.00,0.00
510090105043,2024,1.00,1.00,1.00,0.00,0.00,0.00
510090105051,2024,1.00,1.00,1.00,0.00,0.00,0.00
510090105061,2024,0.00,0.00,0.00,1.00,1.00,1.00
510090106001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510090106002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510110401011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110401012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110401021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110401022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110401023,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110402001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110402002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110402003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110403001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110403002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110403003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510110403004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510131001001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131001002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131001003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131001004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131002001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131002002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131002003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131002004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131002005,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131003001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131003002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131003003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131003004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131003005,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131004001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131004002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131004003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131005001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131005002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131005003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131005004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131006001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131006002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131006003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131007001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131007002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131007003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131007004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131007005,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131007006,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131008001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131008002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131009001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131009002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131009003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131009004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131010001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131010002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131010003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131010004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131011001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131011002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131011003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131011004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131011005,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131012001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131012002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131012003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131013001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131013002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131013003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131013004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131013005,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131013006,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014051,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014052,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014061,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014062,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014063,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014071,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014072,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014073,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014081,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014082,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014091,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131014092,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015013,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015023,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131015033,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016033,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016034,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131016035,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017013,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017041,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017042,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017051,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017052,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131017053,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018013,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018033,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018034,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018041,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018042,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018051,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018052,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131018053,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131019001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131019002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131019003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131020011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131020012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131020021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131020031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131020032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131020033,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131021001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131021002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131022001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131022002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131022003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131022004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131022005,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131023011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131023012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131023021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131023022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131023023,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131024001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131024002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131024003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131024004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131025001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131025002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131025003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131026001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131026002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131027011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131027012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131027021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131027022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131028021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131028031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131028032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131028033,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131028041,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131028042,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131028043,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131028044,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131029011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131029012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131029013,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131029031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131029041,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131029042,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131029043,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131030001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131030002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131030003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131031001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131031002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131031003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131032001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131032002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131032003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131032004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131033001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131033002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131034011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131034012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131034031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131034041,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131034051,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131034052,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131034053,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035013,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035031,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035032,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035033,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035034,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035035,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035041,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035042,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035051,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035052,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035053,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131035054,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131036011,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131036012,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131036013,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131036021,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131036022,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131037001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131037002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131038001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131038002,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131038003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510131038004,2024,1.00,1.00,1.00,0.00,0.00,0.00
510139801001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510139802001,2024,1.00,1.00,1.00,0.00,0.00,0.00
510150701001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150701002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150701003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150701004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150702001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150702002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150702003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150703001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150703002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150703003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150703004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150704001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150704002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150704003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150705001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150705002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150705003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150705004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150706011,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150706012,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150706021,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150706022,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150706031,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150706032,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150707011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150707012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150707013,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150707021,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150707022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150708011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150708012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150708021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150708022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150708023,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150708024,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150709001,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150709002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150709003,2024,1.00,1.00,1.00,0.00,0.00,0.00
510150709004,2024,0.00,0.00,0.00,1.00,1.00,1.00
510150710001,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150710002,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150710003,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150710004,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150711011,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150711012,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150711013,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150711014,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150711021,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150711022,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150711023,2024,0.00,0.00,0.00,0.30,1.00,1.00
510150711024,2024,0.00,0.00,0.00,0.30,1.00,1.00
