Geo,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4,Year
510030103031,0.109,0.155,0.315,0.421,2024
510030103032,0.139,0.3,0.418,0.143,2024
510030103033,0.189,0.391,0.198,0.222,2024
510030104011,0.117,0.205,0.453,0.225,2024
510030104012,0.314,0.201,0.331,0.154,2024
510030104013,0.301,0.136,0.118,0.445,2024
510030104021,0.074,0.408,0.344,0.174,2024
510030104022,0.064,0.288,0.302,0.346,2024
510030104023,0.086,0.187,0.357,0.37,2024
510030105011,0.253,0.182,0.207,0.358,2024
510030105012,0.034,0.196,0.323,0.447,2024
510030105021,0.32,0.169,0.429,0.082,2024
510030105022,0.05,0.04,0.414,0.496,2024
510030105023,0.377,0.36,0.198,0.065,2024
510030106021,0.156,0.15,0.4,0.294,2024
510030106022,0.136,0.278,0.258,0.328,2024
510030106023,0.382,0.172,0.364,0.082,2024
510030106031,0.3,0.339,0.333,0.028,2024
510030106032,0.379,0.585,0.036,0,2024
510030106041,0.119,0.24,0.389,0.252,2024
510030106042,0.608,0.124,0.212,0.056,2024
510030106043,0.049,0.113,0.427,0.411,2024
510030107011,0.347,0.409,0.19,0.054,2024
510030107012,0.533,0.204,0.245,0.018,2024
510030107021,0.361,0.364,0.245,0.03,2024
510030107022,0.417,0.319,0.226,0.038,2024
510030107023,0.308,0.392,0.214,0.086,2024
510030108011,0.376,0.359,0.233,0.032,2024
510030108012,0.311,0.301,0.342,0.046,2024
510030108013,0.153,0.223,0.351,0.273,2024
510030108021,0.137,0.212,0.395,0.256,2024
510030108022,0.578,0.342,0.048,0.032,2024
510030109011,0.481,0.269,0.147,0.103,2024
510030109012,0.615,0.331,0.054,0,2024
510030109041,0.667,0,0,0.333,2024
510030109042,0.42,0.352,0.159,0.069,2024
510030109043,0.25,0.25,0.25,0.25,2024
510030110001,0,0.17,0.099,0.731,2024
510030110002,0.165,0.238,0.137,0.46,2024
510030110003,0.028,0.181,0.263,0.528,2024
510030110004,0.214,0.246,0.281,0.259,2024
510030110005,0.019,0.072,0.44,0.469,2024
510030111011,0.344,0.143,0.261,0.252,2024
510030111012,0.425,0.161,0.124,0.29,2024
510030111013,0.07,0.549,0.227,0.154,2024
510030111021,0.04,0.2,0.499,0.261,2024
510030111022,0.158,0.209,0.282,0.351,2024
510030111031,0.116,0.179,0.422,0.283,2024
510030111032,0.455,0.195,0.101,0.249,2024
510030111033,0.061,0.209,0.356,0.374,2024
510030111034,0.075,0.209,0.252,0.464,2024
510030111035,0.109,0.036,0.315,0.54,2024
510030112011,0.255,0.204,0.287,0.254,2024
510030112012,0.291,0.164,0.222,0.323,2024
510030112013,0.287,0.288,0.221,0.204,2024
510030112021,0.087,0.021,0.26,0.632,2024
510030112022,0.265,0.214,0.298,0.223,2024
510030112023,0.169,0.126,0.367,0.338,2024
510030112024,0.245,0.148,0.15,0.457,2024
510030113011,0.103,0.367,0.275,0.255,2024
510030113012,0.225,0.119,0.527,0.129,2024
510030113013,0.122,0.373,0.45,0.055,2024
510030113014,0.155,0.215,0.415,0.215,2024
510030113015,0.009,0.542,0.064,0.385,2024
510030113021,0.262,0.377,0.315,0.046,2024
510030113022,0.236,0.375,0.348,0.041,2024
510030113023,0.251,0.236,0.409,0.104,2024
510030113024,0.247,0.389,0.283,0.081,2024
510030113031,0.256,0.221,0.39,0.133,2024
510030113032,0.113,0.251,0.335,0.301,2024
510030114001,0.284,0.201,0.249,0.266,2024
510030114002,0.546,0.198,0.175,0.081,2024
510030114003,0.257,0.294,0.402,0.047,2024
510030114004,0.103,0.246,0.524,0.127,2024
510050701001,0.697,0.193,0.088,0.022,2024
510050701002,0.504,0.324,0.148,0.024,2024
510050701003,0.233,0.249,0.444,0.074,2024
510050701004,0.624,0.252,0.111,0.013,2024
510050801001,0.289,0.217,0.367,0.127,2024
510050801002,0.624,0.16,0.167,0.049,2024
510050801003,0.562,0.263,0.162,0.013,2024
510050802011,0.296,0.351,0.28,0.073,2024
510050802012,0.505,0.313,0.154,0.028,2024
510050802021,0.448,0.345,0.153,0.054,2024
510050802022,0.194,0.286,0.261,0.259,2024
510050802023,0.466,0.335,0.199,0,2024
510050803011,0.287,0.477,0.216,0.02,2024
510050803021,0.345,0.424,0.216,0.015,2024
510050803022,0.372,0.457,0.131,0.04,2024
510079301011,0.468,0.327,0.186,0.019,2024
510079301012,0.302,0.297,0.293,0.108,2024
510079301021,0.231,0.224,0.447,0.098,2024
510079301022,0.295,0.412,0.293,0,2024
510079301023,0.194,0.467,0.302,0.037,2024
510079302001,0.17,0.375,0.425,0.03,2024
510079302002,0.459,0.321,0.202,0.018,2024
510079302003,0.342,0.326,0.244,0.088,2024
510079302004,0.344,0.244,0.313,0.099,2024
510090101001,0.274,0.334,0.135,0.257,2024
510090101002,0.245,0.406,0.194,0.155,2024
510090101003,0.334,0.271,0.353,0.042,2024
510090101004,0.422,0.152,0.284,0.142,2024
510090102011,0.129,0.314,0.335,0.222,2024
510090102012,0.461,0.229,0.251,0.059,2024
510090102013,0.378,0.214,0.326,0.082,2024
510090102021,0.492,0.234,0.143,0.131,2024
510090102022,0.232,0.25,0.399,0.119,2024
510090103001,0.324,0.325,0.318,0.033,2024
510090103002,0.32,0.295,0.293,0.092,2024
510090103003,0.25,0.374,0.246,0.13,2024
510090104011,0.475,0.287,0.228,0.01,2024
510090104012,0.509,0.172,0.268,0.051,2024
510090104021,0.28,0.396,0.299,0.025,2024
510090104022,0.27,0.389,0.265,0.076,2024
510090105041,0.549,0.264,0.18,0.007,2024
510090105042,0.616,0.263,0.056,0.065,2024
510090105043,0.337,0.36,0.256,0.047,2024
510090105051,0.441,0.374,0.18,0.005,2024
510090105061,0.436,0.336,0.195,0.033,2024
510090106001,0.365,0.267,0.257,0.111,2024
510090106002,0.405,0.378,0.217,0,2024
510110401011,0.302,0.202,0.371,0.125,2024
510110401012,0.33,0.363,0.226,0.081,2024
510110401021,0.413,0.275,0.255,0.057,2024
510110401022,0.378,0.34,0.255,0.027,2024
510110401023,0.286,0.421,0.261,0.032,2024
510110402001,0.429,0.365,0.147,0.059,2024
510110402002,0.286,0.357,0.247,0.11,2024
510110402003,0.415,0.273,0.272,0.04,2024
510110403001,0.615,0.115,0.186,0.084,2024
510110403002,0.359,0.348,0.178,0.115,2024
510110403003,0.52,0.267,0.124,0.089,2024
510110403004,0.345,0.39,0.186,0.079,2024
510131001001,0.083,0.045,0.218,0.654,2024
510131001002,0.046,0.198,0.12,0.636,2024
510131001003,0.014,0.074,0.129,0.783,2024
510131001004,0.079,0.068,0.32,0.533,2024
510131002001,0.03,0.064,0.159,0.747,2024
510131002002,0.01,0.045,0.24,0.705,2024
510131002003,0.05,0.186,0.189,0.575,2024
510131002004,0.307,0.019,0.226,0.448,2024
510131002005,0.039,0.058,0.229,0.674,2024
510131003001,0.046,0.027,0.091,0.836,2024
510131003002,0.038,0.023,0.17,0.769,2024
510131003003,0,0.049,0.369,0.582,2024
510131003004,0.179,0.187,0.056,0.578,2024
510131003005,0,0,0.137,0.863,2024
510131004001,0,0.021,0.075,0.904,2024
510131004002,0,0.062,0.05,0.888,2024
510131004003,0.064,0.064,0.096,0.776,2024
510131005001,0.046,0.097,0.371,0.486,2024
510131005002,0.157,0.067,0.265,0.511,2024
510131005003,0.083,0.036,0.08,0.801,2024
510131005004,0.1,0.311,0.117,0.472,2024
510131006001,0.12,0.039,0.117,0.724,2024
510131006002,0,0.047,0.164,0.789,2024
510131006003,0.128,0.214,0.365,0.293,2024
510131007001,0.226,0.228,0.338,0.208,2024
510131007002,0,0.036,0.183,0.781,2024
510131007003,0.076,0.034,0.24,0.65,2024
510131007004,0,0,0.034,0.966,2024
510131007005,0.022,0.243,0.221,0.514,2024
510131007006,0.172,0,0.273,0.555,2024
510131008001,0.123,0.242,0.159,0.476,2024
510131008002,0.067,0.101,0.383,0.449,2024
510131009001,0,0.299,0.231,0.47,2024
510131009002,0.048,0.027,0.146,0.779,2024
510131009003,0.016,0.037,0.213,0.734,2024
510131009004,0.355,0.23,0.157,0.258,2024
510131010001,0.163,0.115,0.282,0.44,2024
510131010002,0.061,0.015,0.572,0.352,2024
510131010003,0.19,0.079,0.405,0.326,2024
510131010004,0,0.038,0.196,0.766,2024
510131011001,0.211,0.109,0.232,0.448,2024
510131011002,0,0.072,0.18,0.748,2024
510131011003,0,0.231,0.283,0.486,2024
510131011004,0.071,0.203,0.324,0.402,2024
510131011005,0,0.071,0.181,0.748,2024
510131012001,0.168,0.119,0.16,0.553,2024
510131012002,0.026,0.035,0.334,0.605,2024
510131012003,0,0.034,0.315,0.651,2024
510131013001,0.213,0.109,0.187,0.491,2024
510131013002,0.043,0.223,0.134,0.6,2024
510131013003,0,0.062,0.278,0.66,2024
510131013004,0.147,0.143,0.276,0.434,2024
510131013005,0.038,0.147,0.141,0.674,2024
510131013006,0,0,0.163,0.837,2024
510131014011,0.136,0.201,0.418,0.245,2024
510131014021,0.147,0.144,0.273,0.436,2024
510131014022,0.025,0.09,0.262,0.623,2024
510131014051,0.36,0.136,0.344,0.16,2024
510131014052,0.032,0.166,0.44,0.362,2024
510131014061,0.079,0.183,0.419,0.319,2024
510131014062,0.075,0.237,0.427,0.261,2024
510131014063,0.144,0.18,0.15,0.526,2024
510131014071,0.118,0.142,0.386,0.354,2024
510131014072,0.022,0.219,0.612,0.147,2024
510131014073,0.155,0.068,0.401,0.376,2024
510131014081,0.033,0.108,0.403,0.456,2024
510131014082,0.12,0.06,0.43,0.39,2024
510131014091,0.256,0.081,0.298,0.365,2024
510131014092,0.211,0.28,0.276,0.233,2024
510131015011,0.139,0.217,0.414,0.23,2024
510131015012,0.146,0.312,0.368,0.174,2024
510131015013,0.194,0.222,0.234,0.35,2024
510131015021,0.077,0.141,0.061,0.721,2024
510131015022,0.14,0.106,0.271,0.483,2024
510131015023,0.014,0.1,0.25,0.636,2024
510131015031,0.042,0.082,0.253,0.623,2024
510131015032,0.036,0.113,0.182,0.669,2024
510131015033,0.25,0.25,0.25,0.25,2024
510131016011,0.25,0.25,0.25,0.25,2024
510131016012,0.091,0.133,0.36,0.416,2024
510131016021,0.171,0.136,0.482,0.211,2024
510131016022,0.334,0.283,0.289,0.094,2024
510131016031,0.348,0.171,0.374,0.107,2024
510131016032,0.25,0.25,0.25,0.25,2024
510131016033,0.073,0.124,0.2,0.603,2024
510131016034,0.216,0.076,0.209,0.499,2024
510131016035,0.169,0.201,0.309,0.321,2024
510131017011,0.173,0.374,0.344,0.109,2024
510131017012,0.088,0.194,0.284,0.434,2024
510131017013,0.154,0.139,0.386,0.321,2024
510131017031,0.087,0.19,0.437,0.286,2024
510131017032,0.159,0.123,0.269,0.449,2024
510131017041,0.343,0.476,0.13,0.051,2024
510131017042,0.339,0.39,0.218,0.053,2024
510131017051,0.193,0.087,0.158,0.562,2024
510131017052,0.251,0.229,0.229,0.291,2024
510131017053,0.335,0.032,0.392,0.241,2024
510131018011,0.028,0.041,0.302,0.629,2024
510131018012,0.052,0.063,0.322,0.563,2024
510131018013,0,0.217,0.439,0.344,2024
510131018031,0.018,0.307,0.215,0.46,2024
510131018032,0.041,0.333,0.468,0.158,2024
510131018033,0.189,0.375,0.323,0.113,2024
510131018034,0.142,0.152,0.258,0.448,2024
510131018041,0.49,0.19,0.106,0.214,2024
510131018042,0.241,0.178,0.399,0.182,2024
510131018051,0.077,0.129,0.386,0.408,2024
510131018052,0.077,0.066,0.545,0.312,2024
510131018053,0.228,0.138,0.185,0.449,2024
510131019001,0,0.092,0.396,0.512,2024
510131019002,0.056,0.098,0.311,0.535,2024
510131019003,0.194,0.101,0.243,0.462,2024
510131020011,0.044,0.048,0.227,0.681,2024
510131020012,0.261,0.25,0.279,0.21,2024
510131020021,0.092,0.2,0.335,0.373,2024
510131020031,0.443,0.325,0.193,0.039,2024
510131020032,0.119,0.342,0.307,0.232,2024
510131020033,0.39,0.106,0.202,0.302,2024
510131021001,0.688,0.028,0.123,0.161,2024
510131021002,0.037,0.081,0.248,0.634,2024
510131022001,0.023,0.264,0.438,0.275,2024
510131022002,0.331,0.356,0.172,0.141,2024
510131022003,0.212,0.113,0.293,0.382,2024
510131022004,0.436,0.104,0.268,0.192,2024
510131022005,0.508,0.285,0.182,0.025,2024
510131023011,0.036,0.035,0.345,0.584,2024
510131023012,0.315,0.206,0.21,0.269,2024
510131023021,0.342,0.078,0.211,0.369,2024
510131023022,0.152,0.178,0.225,0.445,2024
510131023023,0.242,0.326,0.212,0.22,2024
510131024001,0.077,0.347,0.32,0.256,2024
510131024002,0.052,0.047,0.355,0.546,2024
510131024003,0.055,0.12,0.281,0.544,2024
510131024004,0.168,0.242,0.174,0.416,2024
510131025001,0.086,0.206,0.428,0.28,2024
510131025002,0.312,0.194,0.328,0.166,2024
510131025003,0.123,0.045,0.155,0.677,2024
510131026001,0.111,0.301,0.383,0.205,2024
510131026002,0.106,0.36,0.253,0.281,2024
510131027011,0.217,0.454,0.297,0.032,2024
510131027012,0.437,0.302,0.108,0.153,2024
510131027021,0.026,0.174,0.366,0.434,2024
510131027022,0.068,0.248,0.369,0.315,2024
510131028021,0.036,0.041,0.292,0.631,2024
510131028031,0.402,0.393,0.162,0.043,2024
510131028032,0.095,0.323,0.341,0.241,2024
510131028033,0.318,0.246,0.303,0.133,2024
510131028041,0.263,0.177,0.227,0.333,2024
510131028042,0.081,0.135,0.121,0.663,2024
510131028043,0.259,0.294,0.418,0.029,2024
510131028044,0.587,0.147,0.143,0.123,2024
510131029011,0.156,0.129,0.415,0.3,2024
510131029012,0.143,0.054,0.481,0.322,2024
510131029013,0.036,0.14,0.471,0.353,2024
510131029031,0.087,0.118,0.413,0.382,2024
510131029041,0.047,0.051,0.508,0.394,2024
510131029042,0.039,0.135,0.406,0.42,2024
510131029043,0.368,0.178,0.378,0.076,2024
510131030001,0.045,0.114,0.313,0.528,2024
510131030002,0.138,0.074,0.402,0.386,2024
510131030003,0.016,0.089,0.284,0.611,2024
510131031001,0.156,0.077,0.44,0.327,2024
510131031002,0.062,0.316,0.319,0.303,2024
510131031003,0.066,0.058,0.333,0.543,2024
510131032001,0.156,0.242,0.354,0.248,2024
510131032002,0.18,0.262,0.329,0.229,2024
510131032003,0.051,0.168,0.535,0.246,2024
510131032004,0.024,0.237,0.496,0.243,2024
510131033001,0.088,0.133,0.319,0.46,2024
510131033002,0.112,0.359,0.387,0.142,2024
510131034011,0,0,0.099,0.901,2024
510131034012,0.25,0.25,0.25,0.25,2024
510131034031,0.047,0.226,0.454,0.273,2024
510131034041,0.09,0.149,0.431,0.33,2024
510131034051,0.094,0.092,0.327,0.487,2024
510131034052,0.043,0.096,0.426,0.435,2024
510131034053,0.051,0.191,0.558,0.2,2024
510131035011,0.135,0.071,0.422,0.372,2024
510131035012,0.367,0.502,0.115,0.016,2024
510131035013,0.109,0.34,0.317,0.234,2024
510131035031,0.241,0.233,0.35,0.176,2024
510131035032,0.218,0.267,0.319,0.196,2024
510131035033,0.136,0.215,0.347,0.302,2024
510131035034,0.365,0.381,0.229,0.025,2024
510131035035,0.09,0.25,0.468,0.192,2024
510131035041,0.236,0.074,0.344,0.346,2024
510131035042,0.021,0.13,0.315,0.534,2024
510131035051,0.235,0.073,0.487,0.205,2024
510131035052,0.355,0.119,0.281,0.245,2024
510131035053,0.063,0.276,0.432,0.229,2024
510131035054,0.126,0.229,0.435,0.21,2024
510131036011,0,0.061,0.194,0.745,2024
510131036012,0.027,0.087,0.296,0.59,2024
510131036013,0.065,0.158,0.199,0.578,2024
510131036021,0.152,0.244,0.417,0.187,2024
510131036022,0.237,0.281,0.321,0.161,2024
510131037001,0.113,0.094,0.234,0.559,2024
510131037002,0.059,0.124,0.138,0.679,2024
510131038001,0.211,0.195,0.283,0.311,2024
510131038002,0.045,0.192,0.321,0.442,2024
510131038003,0.319,0.202,0.3,0.179,2024
510131038004,0.227,0.162,0.418,0.193,2024
510139801001,0.25,0.25,0.25,0.25,2024
510139802001,0.25,0.25,0.25,0.25,2024
510150701001,0.581,0.189,0.23,0,2024
510150701002,0.419,0.222,0.261,0.098,2024
510150701003,0.329,0.276,0.232,0.163,2024
510150701004,0.5,0.5,0,0,2024
510150702001,0.265,0.225,0.416,0.094,2024
510150702002,0.447,0.161,0.271,0.121,2024
510150702003,0.175,0.355,0.175,0.295,2024
510150703001,0.212,0.351,0.318,0.119,2024
510150703002,0.13,0.369,0.393,0.108,2024
510150703003,0.116,0.282,0.305,0.297,2024
510150703004,0.181,0.324,0.304,0.191,2024
510150704001,0.274,0.345,0.304,0.077,2024
510150704002,0.252,0.346,0.395,0.007,2024
510150704003,0.401,0.289,0.302,0.008,2024
510150705001,0.18,0.469,0.33,0.021,2024
510150705002,0.306,0.25,0.351,0.093,2024
510150705003,0.23,0.341,0.367,0.062,2024
510150705004,0.291,0.18,0.497,0.032,2024
510150706011,0.284,0.248,0.157,0.311,2024
510150706012,0.215,0.112,0.527,0.146,2024
510150706021,0.544,0.171,0.265,0.02,2024
510150706022,0.432,0.22,0.311,0.037,2024
510150706031,0.265,0.274,0.304,0.157,2024
510150706032,0.156,0.305,0.424,0.115,2024
510150707011,0.166,0.159,0.589,0.086,2024
510150707012,0.263,0.18,0.436,0.121,2024
510150707013,0.186,0.403,0.382,0.029,2024
510150707021,0.413,0.443,0.111,0.033,2024
510150707022,0.143,0.294,0.501,0.062,2024
510150708011,0.175,0.273,0.371,0.181,2024
510150708012,0.13,0.289,0.433,0.148,2024
510150708021,0.236,0.217,0.49,0.057,2024
510150708022,0.363,0.306,0.287,0.044,2024
510150708023,0.365,0.33,0.163,0.142,2024
510150708024,0.212,0.577,0.109,0.102,2024
510150709001,0.33,0.23,0.293,0.147,2024
510150709002,0.402,0.247,0.221,0.13,2024
510150709003,0.77,0.177,0.053,0,2024
510150709004,0.387,0.254,0.227,0.132,2024
510150710001,0.206,0.418,0.228,0.148,2024
510150710002,0.39,0.182,0.332,0.096,2024
510150710003,0.549,0.302,0.126,0.023,2024
510150710004,0.376,0.326,0.16,0.138,2024
510150711011,0.467,0.311,0.086,0.136,2024
510150711012,0.279,0.289,0.392,0.04,2024
510150711013,0.245,0.514,0.194,0.047,2024
510150711014,0.322,0.29,0.332,0.056,2024
510150711021,0.401,0.082,0.481,0.036,2024
510150711022,0.245,0.217,0.277,0.261,2024
510150711023,0.283,0.252,0.268,0.197,2024
510150711024,0.214,0.25,0.462,0.074,2024
510150712011,0.306,0.414,0.256,0.024,2024
510150712012,0.217,0.159,0.539,0.085,2024
510150712021,0.171,0.264,0.429,0.136,2024
510150712022,0.127,0.49,0.234,0.149,2024
510150712023,0.466,0.159,0.299,0.076,2024
510179201011,0.575,0.147,0.218,0.06,2024
510179201012,0.507,0.229,0.183,0.081,2024
510179201021,0.289,0.174,0.327,0.21,2024
510179201022,0.719,0.109,0.172,0,2024
510179201023,0.224,0.427,0.349,0,2024
510190301011,0.164,0.216,0.401,0.219,2024
510190301012,0.287,0.334,0.167,0.212,2024
510190301013,0.159,0.139,0.403,0.299,2024
510190301014,0.104,0.165,0.478,0.253,2024
510190301031,0.139,0.353,0.284,0.224,2024
510190301032,0.109,0.496,0.296,0.099,2024
510190301033,0.295,0.357,0.264,0.084,2024
510190301034,0.275,0.385,0.137,0.203,2024
510190301041,0.361,0.274,0.3,0.065,2024
510190301042,0.332,0.38,0.215,0.073,2024
510190301043,0.142,0.443,0.209,0.206,2024
510190302021,0.188,0.317,0.295,0.2,2024
510190302022,0.194,0.361,0.352,0.093,2024
510190302023,0.552,0.281,0.122,0.045,2024
510190302031,0.096,0.278,0.399,0.227,2024
510190302032,0.111,0.268,0.382,0.239,2024
510190302041,0.225,0.203,0.258,0.314,2024
510190302042,0.21,0.322,0.331,0.137,2024
510190303001,0.297,0.31,0.288,0.105,2024
510190303002,0.235,0.396,0.297,0.072,2024
510190304011,0.492,0.273,0.184,0.051,2024
510190304012,0.143,0.211,0.512,0.134,2024
510190304013,0.538,0.275,0.12,0.067,2024
510190304031,0.338,0.433,0.132,0.097,2024
510190304032,0.209,0.445,0.284,0.062,2024
510190304033,0.317,0.216,0.398,0.069,2024
510190304041,0.305,0.591,0.09,0.014,2024
510190304042,0.267,0.386,0.279,0.068,2024
510190304043,0.442,0.339,0.155,0.064,2024
510190305011,0.313,0.363,0.215,0.109,2024
510190305012,0.631,0.166,0.18,0.023,2024
510190305013,0.183,0.322,0.495,0,2024
510190305031,0.308,0.236,0.252,0.204,2024
510190305032,0.204,0.344,0.248,0.204,2024
510190305033,0.351,0.257,0.24,0.152,2024
510190305041,0.395,0.265,0.223,0.117,2024
510190305042,0.066,0.414,0.428,0.092,2024
510190305043,0.217,0.393,0.303,0.087,2024
510190306011,0.369,0.334,0.252,0.045,2024
510190306012,0.101,0.481,0.315,0.103,2024
510190306013,0.134,0.331,0.441,0.094,2024
510190306021,0.271,0.298,0.349,0.082,2024
510190306022,0.219,0.299,0.283,0.199,2024
510190306023,0.22,0.53,0.25,0,2024
510190306031,0.158,0.571,0.271,0,2024
510190306032,0.429,0.314,0.149,0.108,2024
510190306041,0.399,0.245,0.244,0.112,2024
510190306042,0.334,0.367,0.213,0.086,2024
510190306051,0.237,0.286,0.444,0.033,2024
510190306052,0.517,0.235,0.248,0,2024
510190306053,0.395,0.231,0.325,0.049,2024
510190501011,0.401,0.302,0.262,0.035,2024
510190501012,0.539,0.302,0.101,0.058,2024
510190501021,0.237,0.435,0.282,0.046,2024
510190501022,0.251,0.343,0.28,0.126,2024
510210401001,0.554,0.251,0.154,0.041,2024
510210401002,0.307,0.445,0.114,0.134,2024
510210401003,0.158,0.418,0.399,0.025,2024
510210402001,0.471,0.126,0.386,0.017,2024
510210402002,0.41,0.172,0.312,0.106,2024
510210402003,0.424,0.367,0.179,0.03,2024
510230401001,0.482,0.188,0.263,0.067,2024
510230401002,0.542,0.262,0.16,0.036,2024
510230401003,0.491,0.27,0.192,0.047,2024
510230401004,0.362,0.42,0.2,0.018,2024
510230402001,0.375,0.415,0.199,0.011,2024
510230402002,0.475,0.215,0.266,0.044,2024
510230402003,0.214,0.285,0.354,0.147,2024
510230402004,0.412,0.285,0.244,0.059,2024
510230403011,0.236,0.408,0.269,0.087,2024
510230403012,0.186,0.256,0.384,0.174,2024
510230403031,0.212,0.216,0.376,0.196,2024
510230403032,0.174,0.271,0.334,0.221,2024
510230403033,0.171,0.311,0.332,0.186,2024
510230403041,0.174,0.409,0.291,0.126,2024
510230403042,0.191,0.132,0.423,0.254,2024
510230404011,0.228,0.37,0.265,0.137,2024
510230404012,0.159,0.532,0.213,0.096,2024
510230404021,0.08,0.454,0.431,0.035,2024
510230404022,0.319,0.36,0.305,0.016,2024
510230404023,0.251,0.275,0.334,0.14,2024
510230404024,0.259,0.322,0.285,0.134,2024
510230405011,0.284,0.308,0.279,0.129,2024
510230405012,0.231,0.322,0.377,0.07,2024
510230405013,0.132,0.358,0.403,0.107,2024
510230405021,0.289,0.284,0.242,0.185,2024
510230405022,0.303,0.28,0.346,0.071,2024
510259301001,0.543,0.258,0.177,0.022,2024
510259301002,0.561,0.267,0.162,0.01,2024
510259301003,0.521,0.268,0.021,0.19,2024
510259301004,0.342,0.584,0.059,0.015,2024
510259302011,0.475,0.318,0.162,0.045,2024
510259302012,0.42,0.381,0.187,0.012,2024
510259302021,0.25,0.25,0.25,0.25,2024
510259302031,0.139,0.273,0.423,0.165,2024
510259302032,0.62,0.161,0.178,0.041,2024
510259302033,0.542,0.284,0.162,0.012,2024
510259302034,0.318,0.134,0.346,0.202,2024
510259303011,0.393,0.344,0.126,0.137,2024
510259303012,0.333,0.405,0.235,0.027,2024
510259303021,0.418,0.269,0.278,0.035,2024
510259303022,0.352,0.302,0.168,0.178,2024
510259303023,0.36,0.389,0.194,0.057,2024
510270101001,0.579,0.267,0.133,0.021,2024
510270101002,0.402,0.274,0.294,0.03,2024
510270101003,0.841,0.077,0.026,0.056,2024
510270101004,0.69,0.059,0.233,0.018,2024
510270101005,0.607,0.34,0.053,0,2024
510270102001,0.381,0.619,0,0,2024
510270102002,0.82,0.101,0.079,0,2024
510270102003,0.671,0.218,0.111,0,2024
510270102004,0.469,0.358,0.173,0,2024
510270103001,0.547,0.312,0.141,0,2024
510270103002,0.484,0.312,0.204,0,2024
510270103003,0.609,0.159,0.232,0,2024
510270104001,0.645,0.228,0.127,0,2024
510270104002,0.554,0.262,0.13,0.054,2024
510270105001,0.748,0.087,0.161,0.004,2024
510270105002,0.565,0.188,0.159,0.088,2024
510270106001,0.598,0.372,0.02,0.01,2024
510270106002,0.39,0.501,0.086,0.023,2024
510270106003,0.541,0.276,0.183,0,2024
510270106004,0.263,0.18,0.531,0.026,2024
510270107001,0.5,0.31,0.064,0.126,2024
510270107002,0.543,0.23,0.206,0.021,2024
510270107003,0.425,0.328,0.221,0.026,2024
510270107004,0.535,0.22,0.196,0.049,2024
510299301011,0.51,0.326,0.132,0.032,2024
510299301012,0.173,0.306,0.421,0.1,2024
510299301013,0.392,0.231,0.344,0.033,2024
510299301021,0.541,0.202,0.194,0.063,2024
510299301022,0.301,0.358,0.289,0.052,2024
510299301023,0.529,0.194,0.269,0.008,2024
510299302011,0.312,0.276,0.29,0.122,2024
510299302012,0.279,0.454,0.219,0.048,2024
510299302013,0.548,0.304,0.093,0.055,2024
510299302021,0.362,0.343,0.193,0.102,2024
510299302022,0.396,0.277,0.223,0.104,2024
510299302023,0.38,0.347,0.234,0.039,2024
510310201011,0.484,0.337,0.147,0.032,2024
510310201012,0.331,0.239,0.27,0.16,2024
