Geo,Year,FuelTax.2024,VmtTax.2024,PevSurchgTaxProp
Hopewell City,2024,0.494,0,0.575
Hopewell City,2045,0.494,0,0.575
Isle of Wight County,2024,0.494,0,0.575
Isle of Wight County,2045,0.494,0,0.575
James City County,2024,0.494,0,0.575
James City County,2045,0.494,0,0.575
King and Queen County,2024,0.494,0,0.575
King and Queen County,2045,0.494,0,0.575
King George County,2024,0.494,0,0.575
King George County,2045,0.494,0,0.575
King William County,2024,0.494,0,0.575
King William County,2045,0.494,0,0.575
Lancaster County,2024,0.494,0,0.575
Lancaster County,2045,0.494,0,0.575
Lee County,2024,0.494,0,0.575
Lee County,2045,0.494,0,0.575
Lexington City,2024,0.494,0,0.575
Lexington City,2045,0.494,0,0.575
Loudoun County,2024,0.494,0,0.575
Loudoun County,2045,0.494,0,0.575
Louisa County,2024,0.494,0,0.575
Louisa County,2045,0.494,0,0.575
Lunenburg County,2024,0.494,0,0.575
Lunenburg County,2045,0.494,0,0.575
Lynchburg City,2024,0.494,0,0.575
Lynchburg City,2045,0.494,0,0.575
Madison County,2024,0.494,0,0.575
Madison County,2045,0.494,0,0.575
Manassas City,2024,0.494,0,0.575
Manassas City,2045,0.494,0,0.575
Manassas Park City,2024,0.494,0,0.575
Manassas Park City,2045,0.494,0,0.575
Martinsville City,2024,0.494,0,0.575
Martinsville City,2045,0.494,0,0.575
Mathews County,2024,0.494,0,0.575
Mathews County,2045,0.494,0,0.575
Mecklenburg County,2024,0.494,0,0.575
Mecklenburg County,2045,0.494,0,0.575
Middlesex County,2024,0.494,0,0.575
Middlesex County,2045,0.494,0,0.575
Montgomery County,2024,0.494,0,0.575
Montgomery County,2045,0.494,0,0.575
Nelson County,2024,0.494,0,0.575
Nelson County,2045,0.494,0,0.575
New Kent County,2024,0.494,0,0.575
New Kent County,2045,0.494,0,0.575
Newport News City,2024,0.494,0,0.575
Newport News City,2045,0.494,0,0.575
Norfolk City,2024,0.494,0,0.575
Norfolk City,2045,0.494,0,0.575
Northampton County,2024,0.494,0,0.575
Northampton County,2045,0.494,0,0.575
Northumberland County,2024,0.494,0,0.575
Northumberland County,2045,0.494,0,0.575
Norton City,2024,0.494,0,0.575
Norton City,2045,0.494,0,0.575
Nottoway County,2024,0.494,0,0.575
Nottoway County,2045,0.494,0,0.575
Orange County,2024,0.494,0,0.575
Orange County,2045,0.494,0,0.575
Page County,2024,0.494,0,0.575
Page County,2045,0.494,0,0.575
Patrick County,2024,0.494,0,0.575
Patrick County,2045,0.494,0,0.575
Petersburg City,2024,0.494,0,0.575
Petersburg City,2045,0.494,0,0.575
Pittsylvania County,2024,0.494,0,0.575
Pittsylvania County,2045,0.494,0,0.575
Poquoson City,2024,0.494,0,0.575
Poquoson City,2045,0.494,0,0.575
Portsmouth City,2024,0.494,0,0.575
Portsmouth City,2045,0.494,0,0.575
Powhatan County,2024,0.494,0,0.575
Powhatan County,2045,0.494,0,0.575
Prince Edward County,2024,0.494,0,0.575
Prince Edward County,2045,0.494,0,0.575
Prince George County,2024,0.494,0,0.575
Prince George County,2045,0.494,0,0.575
Prince William County,2024,0.494,0,0.575
Prince William County,2045,0.494,0,0.575
Pulaski County,2024,0.494,0,0.575
Pulaski County,2045,0.494,0,0.575
Radford City,2024,0.494,0,0.575
Radford City,2045,0.494,0,0.575
Rappahannock County,2024,0.494,0,0.575
Rappahannock County,2045,0.494,0,0.575
Richmond City,2024,0.494,0,0.575
Richmond City,2045,0.494,0,0.575
Richmond County,2024,0.494,0,0.575
Richmond County,2045,0.494,0,0.575
Roanoke City,2024,0.494,0,0.575
Roanoke City,2045,0.494,0,0.575
Roanoke County,2024,0.494,0,0.575
Roanoke County,2045,0.494,0,0.575
Rockbridge County,2024,0.494,0,0.575
Rockbridge County,2045,0.494,0,0.575
Rockingham County,2024,0.494,0,0.575
Rockingham County,2045,0.494,0,0.575
Russell County,2024,0.494,0,0.575
Russell County,2045,0.494,0,0.575
Salem City,2024,0.494,0,0.575
Salem City,2045,0.494,0,0.575
Scott County,2024,0.494,0,0.575
Scott County,2045,0.494,0,0.575
Shenandoah County,2024,0.494,0,0.575
Shenandoah County,2045,0.494,0,0.575
Smyth County,2024,0.494,0,0.575
Smyth County,2045,0.494,0,0.575
Southampton County,2024,0.494,0,0.575
Southampton County,2045,0.494,0,0.575
Spotsylvania County,2024,0.494,0,0.575
Spotsylvania County,2045,0.494,0,0.575
Stafford County,2024,0.494,0,0.575
Stafford County,2045,0.494,0,0.575
Staunton City,2024,0.494,0,0.575
Staunton City,2045,0.494,0,0.575
Suffolk City,2024,0.494,0,0.575
Suffolk City,2045,0.494,0,0.575
Surry County,2024,0.494,0,0.575
Surry County,2045,0.494,0,0.575
Sussex County,2024,0.494,0,0.575
Sussex County,2045,0.494,0,0.575
Tazewell County,2024,0.494,0,0.575
Tazewell County,2045,0.494,0,0.575
Virginia Beach City,2024,0.494,0,0.575
Virginia Beach City,2045,0.494,0,0.575
Warren County,2024,0.494,0,0.575
Warren County,2045,0.494,0,0.575
Washington County,2024,0.494,0,0.575
Washington County,2045,0.494,0,0.575
Waynesboro City,2024,0.494,0,0.575
Waynesboro City,2045,0.494,0,0.575
Westmoreland County,2024,0.494,0,0.575
Westmoreland County,2045,0.494,0,0.575
Williamsburg City,2024,0.494,0,0.575
Williamsburg City,2045,0.494,0,0.575
Winchester City,2024,0.494,0,0.575
Winchester City,2045,0.494,0,0.575
Wise County,2024,0.494,0,0.575
Wise County,2045,0.494,0,0.575
Wythe County,2024,0.494,0,0.575
Wythe County,2045,0.494,0,0.575
York County,2024,0.494,0,0.575
York County,2045,0.494,0,0.575
